Cource code,CTT006,,,,,
Student ID,Midterm score,Lap score,Final score,Bonus,Semester,Year
1753001,9,10,5,1,3,2017-2018
1753002,5,7,7,0,3,2017-2018
1753003,7,8,6,1,3,2017-2018
1753004,9,8,8,1,3,2017-2018
1753005,4,10,9,1,3,2017-2018
1753006,4,9,7,0,3,2017-2018
1753007,7,6,4,0,3,2017-2018
1753008,7,7,6,0,3,2017-2018
1753009,8,8,5,1,3,2017-2018
1753010,9,9,7,1,3,2017-2018
1753011,5,9,4,0,3,2017-2018
1753012,4,5,9,0,3,2017-2018
1753013,8,8,10,1,3,2017-2018
1753014,10,9,5,1,3,2017-2018
1753015,7,5,5,0,3,2017-2018
1753016,4,8,7,1,3,2017-2018
1753017,6,5,4,0,3,2017-2018
1753018,4,7,4,1,3,2017-2018
1753019,5,9,9,0,3,2017-2018
