Cource code,CTT004,,,,,
Student ID,Midterm score,Lap score,Final score,Bonus,Semester,Year
1753001,4,10,5,0,2,2017-2018
1753002,9,8,8,1,2,2017-2018
1753003,7,7,10,0,2,2017-2018
1753004,8,4,8,1,2,2017-2018
1753005,4,4,4,0,2,2017-2018
1753006,4,10,6,1,2,2017-2018
1753007,6,5,9,0,2,2017-2018
1753008,10,10,9,0,2,2017-2018
1753009,4,8,8,1,2,2017-2018
1753010,8,9,6,0,2,2017-2018
1753011,8,7,10,1,2,2017-2018
1753012,7,8,10,1,2,2017-2018
1753013,4,8,8,1,2,2017-2018
1753014,4,8,9,0,2,2017-2018
1753015,10,8,8,0,2,2017-2018
1753016,9,9,7,1,2,2017-2018
1753017,7,7,5,1,2,2017-2018
1753018,6,9,4,0,2,2017-2018
1753019,5,6,6,0,2,2017-2018
