Cource code,CTT005,,,,,
Student ID,Midterm score,Lap score,Final score,Bonus,Semester,Year
1753001,4,5,8,1,3,2017-2018
1753002,5,10,9,0,3,2017-2018
1753003,7,9,5,1,3,2017-2018
1753004,8,8,5,0,3,2017-2018
1753005,5,9,10,1,3,2017-2018
1753006,5,9,6,0,3,2017-2018
1753007,4,4,5,0,3,2017-2018
1753008,8,9,7,1,3,2017-2018
1753009,5,9,5,1,3,2017-2018
1753010,7,8,4,0,3,2017-2018
1753011,7,9,6,1,3,2017-2018
1753012,7,5,8,1,3,2017-2018
1753013,4,10,10,0,3,2017-2018
1753014,9,10,6,1,3,2017-2018
1753015,7,6,4,0,3,2017-2018
1753016,10,7,5,1,3,2017-2018
1753017,9,10,9,0,3,2017-2018
1753018,10,8,8,1,3,2017-2018
1753019,6,7,5,1,3,2017-2018
