Cource code,CTT003,,,,,
Student ID,Midterm score,Lap score,Final score,Bonus,Semester,Year
1753001,10,4,10,1,2,2017-2018
1753002,4,5,10,0,2,2017-2018
1753003,8,5,4,0,2,2017-2018
1753004,8,9,4,1,2,2017-2018
1753005,10,5,10,0,2,2017-2018
1753006,10,6,6,1,2,2017-2018
1753007,10,10,4,1,2,2017-2018
1753008,9,10,8,0,2,2017-2018
1753009,6,9,8,0,2,2017-2018
1753010,7,10,10,1,2,2017-2018
1753011,10,10,4,0,2,2017-2018
1753012,5,8,7,0,2,2017-2018
1753013,7,8,8,1,2,2017-2018
1753014,4,4,8,1,2,2017-2018
1753015,4,4,6,0,2,2017-2018
1753016,6,5,7,0,2,2017-2018
1753017,7,9,9,1,2,2017-2018
1753018,10,7,10,0,2,2017-2018
1753019,4,5,5,1,2,2017-2018
